"Location.ID","Place_ID","Governorate","District","Location_name","Latitude","Longitude","OCHA_admin_1","OCHA_admin_2","OCHA_PCode","families_abs_2018.07.15","families_diff_abs_2018.07.15","families_diff_perc_2018.07.15","families_abs_2018.07.31","families_diff_abs_2018.07.31","families_diff_perc_2018.07.31","families_abs_2018.08.15","families_diff_abs_2018.08.15","families_diff_perc_2018.08.15","families_abs_2018.08.31","families_diff_abs_2018.08.31","families_diff_perc_2018.08.31","families_abs_2018-09-15","families_diff_abs_2018-09-15","families_diff_perc_2018-09-15"
"1104016",23620,"Dahuk","Zakho","Fishkhaboor",37.06745325,42.37711693,"IQ-G08","IQ-D051","IQ-P09636",130,0,0,130,0,0,130,0,0,130,0,0,130,0,0
"1204004",13352,"Erbil","Makhmur","Gwer",36.043816,43.49773,"IQ-G11","IQ-D066","IQ-P14306",1480,0,0,1480,0,0,1480,0,0,1580,100,6.8,1580,0,0
"1204011",13674,"Erbil","Makhmur","Shahidan",35.78075589,43.58504234,"IQ-G11","IQ-D066","IQ-P14545",430,0,0,430,0,0,430,0,0,430,0,0,430,0,0
"1204016",13501,"Erbil","Makhmur","Kurdistan ",35.76717577,43.57776315,"IQ-G11","IQ-D066","IQ-P14404",166,0,0,166,0,0,166,0,0,166,0,0,166,0,0
"1204017",13675,"Erbil","Makhmur","Sherwany",35.77564291,43.58093878,"IQ-G11","IQ-D066","IQ-P14558",336,0,0,336,0,0,336,0,0,336,0,0,336,0,0
"1204018",27244,"Erbil","Makhmur","Saray(markez bazar)",35.77545143,43.57846638,"IQ-G11","IQ-D066","",539,0,0,539,0,0,539,0,0,539,0,0,539,0,0
"1204019",13500,"Erbil","Makhmur","Bndiyan",35.77626707,43.58273364,"IQ-G11","IQ-D066","IQ-P14198",261,0,0,261,0,0,261,0,0,261,0,0,261,0,0
"1204020",13502,"Erbil","Makhmur","Farmanbaran",35.77757108,43.57570425,"IQ-G11","IQ-D066","IQ-P14254",237,0,0,237,0,0,237,0,0,240,3,1.3,240,0,0
"1204022",22976,"Erbil","Makhmur","Qalat",35.77731268,43.57313731,"IQ-G11","IQ-D066","IQ-P14478",275,0,0,275,0,0,275,0,0,280,5,1.8,280,0,0
"1204023",29522,"Erbil","Makhmur","Bnari Qara chogh",35.78050824,43.59405613,"IQ-G11","IQ-D066","",94,0,0,94,0,0,94,0,0,94,0,0,94,0,0
"1204031",11912,"Erbil","Makhmur","Abu Sheta",36.110558,43.558101,"IQ-G11","IQ-D066","IQ-P14150",778,0,0,778,0,0,778,0,0,828,50,6.4,828,0,0
"1204032",13361,"Erbil","Makhmur","Kapran",36.05915,43.50751,"IQ-G11","IQ-D066","IQ-P14354",392,0,0,392,0,0,392,0,0,442,50,12.8,442,0,0
"1204034",13550,"Erbil","Makhmur","Kabarok",35.7833,43.3525,"IQ-G11","IQ-D066","IQ-P14341",160,0,0,160,0,0,160,0,0,160,0,0,160,0,0
"1204035",12494,"Erbil","Makhmur","Khalideya",35.8265991,43.37930727,"IQ-G11","IQ-D066","IQ-P14362",188,0,0,188,0,0,188,0,0,188,0,0,188,0,0
"1204036",13357,"Erbil","Makhmur","Ein Muzan",35.8562,43.379,"IQ-G11","IQ-D066","IQ-P14252",130,0,0,130,0,0,130,0,0,135,5,3.8,135,0,0
"1204038",12531,"Erbil","Makhmur","Mahana",35.7692,43.364,"IQ-G11","IQ-D066","IQ-P14419",185,0,0,185,0,0,185,0,0,185,0,0,185,0,0
"1204039",13275,"Erbil","Makhmur","Salahya",35.8336,43.391,"IQ-G11","IQ-D066","IQ-P14515",360,0,0,360,0,0,360,0,0,360,0,0,360,0,0
"1204040",13278,"Erbil","Makhmur","Ein Marmiya",35.8268,43.3887,"IQ-G11","IQ-D066","IQ-P14157",90,0,0,90,0,0,90,0,0,90,0,0,90,0,0
"1204041",13561,"Erbil","Makhmur","Saidawa",35.8353,43.3448,"IQ-G11","IQ-D066","IQ-P14534",300,0,0,300,0,0,300,0,0,300,0,0,300,0,0
"1204042",12519,"Erbil","Makhmur","Godella",35.76274985,43.4011446,"IQ-G11","IQ-D066","IQ-P14398",100,0,0,115,15,15,115,0,0,115,0,0,115,0,0
"2101001",23792,"Anbar","Al-Ka'im","Al Angaa",34.383198,41.052623,"IQ-G01","IQ-D005","IQ-P00353",194,0,0,219,25,12.9,219,0,0,219,0,0,219,0,0
